county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Clara,8266.0,180.0,277,2,2020-07-22
San Mateo,4796.0,114.0,63,0,2020-07-22
Santa Barbara,5508.0,32.0,86,0,2020-07-22
Tuolumne,91.0,0.0,16,0,2020-07-22
Sierra,1.0,0.0,0,0,2020-07-22
Placer,1469.0,12.0,56,0,2020-07-22
San Luis Obispo,1373.0,7.0,35,0,2020-07-22
Solano,2839.0,35.0,112,0,2020-07-22
Monterey,3533.0,21.0,129,0,2020-07-22
Yuba,288.0,3.0,19,0,2020-07-22
San Francisco,5473.0,53.0,96,0,2020-07-22
Orange,32047.0,521.0,691,8,2020-07-22
Mono,82.0,1.0,3,0,2020-07-22
Calaveras,98.0,1.0,2,0,2020-07-22
Alpine,2.0,0.0,0,0,2020-07-22
Nevada,239.0,1.0,11,0,2020-07-22
Butte,694.0,5.0,35,0,2020-07-22
Santa Cruz,866.0,3.0,31,0,2020-07-22
Mendocino,166.0,0.0,6,0,2020-07-22
Fresno,11756.0,104.0,344,0,2020-07-22
Inyo,38.0,1.0,0,0,2020-07-22
San Joaquin,9628.0,98.0,478,3,2020-07-22
Ventura,6223.0,63.0,92,1,2020-07-22
Trinity,3.0,0.0,1,0,2020-07-22
Mariposa,38.0,1.0,1,0,2020-07-22
El Dorado,466.0,0.0,26,0,2020-07-22
Sonoma,2255.0,22.0,55,2,2020-07-22
Shasta,246.0,7.0,5,0,2020-07-22
Lassen,500.0,0.0,26,0,2020-07-22
Colusa,236.0,0.0,9,0,2020-07-22
Lake,160.0,1.0,3,0,2020-07-22
Modoc,0.0,0.0,0,0,2020-07-22
Tulare,7640.0,168.0,193,0,2020-07-22
San Benito,465.0,2.0,21,0,2020-07-22
Alameda,9678.0,171.0,288,4,2020-07-22
Marin,4373.0,35.0,55,1,2020-07-22
San Diego,25109.0,505.0,587,18,2020-07-22
Out Of Country,0.0,0.0,0,0,2020-07-22
Glenn,236.0,0.0,7,0,2020-07-22
Siskiyou,52.0,0.0,4,0,2020-07-22
Madera,1578.0,16.0,70,3,2020-07-22
Tehama,155.0,1.0,5,0,2020-07-22
Sutter,551.0,4.0,18,0,2020-07-22
Napa,687.0,7.0,27,0,2020-07-22
Los Angeles,165242.0,4213.0,3037,59,2020-07-22
Sacramento,8028.0,96.0,239,0,2020-07-22
Merced,2828.0,26.0,103,4,2020-07-22
Kings,3271.0,45.0,84,3,2020-07-22
Kern,13513.0,115.0,1515,10,2020-07-22
Riverside,33093.0,617.0,862,28,2020-07-22
Unassigned,4.0,0.0,1,0,2020-07-22
Contra Costa,6401.0,102.0,191,0,2020-07-22
Del Norte,66.0,0.0,0,0,2020-07-22
San Bernardino,26820.0,337.0,1497,4,2020-07-22
Stanislaus,7401.0,77.0,417,4,2020-07-22
Plumas,20.0,0.0,1,0,2020-07-22
Humboldt,201.0,4.0,3,0,2020-07-22
Amador,58.0,0.0,3,0,2020-07-22
Imperial,7533.0,165.0,75,2,2020-07-22
Yolo,1233.0,35.0,29,1,2020-07-22
